Rank,Família,Tipo Relatório,Modelo Sentimento,Série Sentimento,Configuração,Janela Sentimento,Com bias,Bias estimado treino,MAE,RMSE,R2,Bias (obs - prev),Slope pred~obs,Intercept,N,id_predicao
3,SVR,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,k=1,t,Não,,0.1258439829943952,0.16927165493899726,0.7360054759209413,0.053447862138576385,0.7488417154412274,0.8077111060423157,24,SVR|estatisticas_score_bert|sem_bias
3,SVR,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,k=1,t,Sim,0.040195925869887614,0.12279086847621173,0.16115778918026913,0.7607075258969217,0.013251936268688794,0.7488417154412272,0.8479070319122037,24,SVR|estatisticas_score_bert|com_bias
2,SVR,Relatórios de Estatísticas,NLTK/VADER,estatisticas_score_nltk,k=1,t,Não,,0.132567067434276,0.16957818086184456,0.735048500185365,0.09384367675211479,0.812635208325746,0.5485833527009842,24,SVR|estatisticas_score_nltk|sem_bias
2,SVR,Relatórios de Estatísticas,NLTK/VADER,estatisticas_score_nltk,k=1,t,Sim,0.031024632336956376,0.11993195559243724,0.1545844626710288,0.7798300116098348,0.06281904441515827,0.812635208325746,0.5796079850379403,24,SVR|estatisticas_score_nltk|com_bias
1,SVR,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,k=1,t,Não,,0.11743346264609877,0.1585944411613635,0.7682592757142288,0.051133502576189316,0.8297128504768586,0.5327385613512821,24,SVR|estatisticas_score_textblob|sem_bias
1,SVR,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,k=1,t,Sim,0.06445699327266792,0.11712461840185551,0.1507152184947332,0.7907137708566329,-0.01332349069647861,0.8297128504768586,0.5971955546239496,24,SVR|estatisticas_score_textblob|com_bias
2,XGBoost,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.1179867835839589,0.14808358808170088,0.7979586341238277,0.07833851536115007,0.7165056363715129,0.8936927839300255,24,XGBoost|estatisticas_score_bert|sem_bias
2,XGBoost,Relatórios de Estatísticas,BERT Multilingual,estatisticas_score_bert,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.07667393182453357,0.10397750375563634,0.12567655671807726,0.8544758789363007,0.0016645835366165447,0.7165056363715129,0.970366715754559,24,XGBoost|estatisticas_score_bert|com_bias
1,XGBoost,Relatórios de Estatísticas,Mistral,estatisticas_score_mistral,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.11535304625829053,0.14215355439309738,0.8138162023376699,0.06730365912119544,0.728641569942482,0.86311655793852,24,XGBoost|estatisticas_score_mistral|sem_bias
1,XGBoost,Relatórios de Estatísticas,Mistral,estatisticas_score_mistral,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.07279318006415116,0.10170608784023079,0.1253315017689981,0.8552738779662508,-0.005489520942955591,0.728641569942482,0.9359097380026711,24,XGBoost|estatisticas_score_mistral|com_bias
3,XGBoost,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Não,,0.11223412791887914,0.13979325328327263,0.8199476218324349,0.06391313831011451,0.7223024006932492,0.8882425053129075,24,XGBoost|estatisticas_score_textblob|sem_bias
3,XGBoost,Relatórios de Estatísticas,TextBlob,estatisticas_score_textblob,k=7,"t, t-1, t-2, t-3, t-4, t-5, t-6",Sim,0.08474849776217812,0.1014449696373521,0.1260610035592692,0.8535841953880936,-0.020835359452063457,0.7223024006932492,0.9729910030750855,24,XGBoost|estatisticas_score_textblob|com_bias
